Package Name,Size,Percentage of Total Size
xkeyboard-config,6882554,0.0900
flatpak,6741609,0.0800
gdm,6712596,0.0800
gnome-boxes,6701269,0.0800
btrfs-progs,6688361,0.0800
system-config-printer-libs,6569152,0.0800
google-droid-sans-fonts,6554442,0.0800
grub2-tools-extra,6529620,0.0800
wpa_supplicant,6465829,0.0800
babl,6404695,0.0800
libtimezonemap,6388395,0.0800
sudo,6351586,0.0800
libmwaw,6342174,0.0800
python3-policycoreutils,6250397,0.0800
util-linux-core,6182485,0.0800
qemu-user-static-s390x,6109800,0.0800
kernel-headers,6105382,0.0800
grub2-efi-aa64,6097447,0.0800
grub2-efi-aa64-cdboot,6096364,0.0800
glibc-langpack-en,5974818,0.0700
python3-lxml,5963650,0.0700
spirv-tools-libs,5950658,0.0700
cups-filters,5925636,0.0700
ipp-usb,5911910,0.0700
qemu-user-static-m68k,5839107,0.0700
gtkmm3.0,5782257,0.0700
lua-posix,5712481,0.0700
qemu-user-static-hppa,5677092,0.0700
xorg-x11-server-Xorg,5661761,0.0700
qemu-user-static-alpha,5599048,0.0700
device-mapper-multipath-libs,5591811,0.0700
xfsprogs,5571926,0.0700
libqmi,5570949,0.0700
qemu-user-static-loongarch64,5549022,0.0700
gnome-system-monitor,5535202,0.0700
python3-crypto,5533567,0.0700
qemu-user-static-cris,5532401,0.0700
qemu-user-static-or1k,5515083,0.0700
grub2-common,5484886,0.0700
bluez,5458777,0.0700
qemu-user-static-nios2,5441980,0.0700
gtksourceview5,5437046,0.0700
openexr-libs,5420441,0.0700
shared-mime-info,5415413,0.0700
kbd,5401257,0.0700
grilo-plugins,5365307,0.0700
suitesparse,5283101,0.0600
clutter,5282738,0.0600
groff-base,5272932,0.0600
fedora-workstation-backgrounds,5257885,0.0600
gsettings-desktop-schemas,5139411,0.0600
nm-connection-editor,5121780,0.0600
ibus-typing-booster,5121212,0.0600
tcl,5118281,0.0600
nvme-cli,5095306,0.0600
libxcb,5082054,0.0600
gnome-keyring,4983782,0.0600
simple-scan,4970557,0.0600
python3-cryptography,4969758,0.0600
words,4959394,0.0600
gnome-maps,4959385,0.0600
elfutils,4920474,0.0600
tslib,4879780,0.0600
python3-libdnf,4845440,0.0600
cups-ipptool,4842922,0.0600
PackageKit,4778946,0.0600
gtksourceview4,4769317,0.0600
ntfsprogs,4758138,0.0600
libuser,4742580,0.0600
colord,4739194,0.0600
exiv2,4698119,0.0600
man-db,4647264,0.0600
adobe-mappings-pdf,4600301,0.0600
python3-blivet,4585144,0.0600
nfs-utils,4570720,0.0600
bind-libs,4566743,0.0600
librsvg2,4515170,0.0500
libreoffice-xsltfilter,4509049,0.0500
nss-softokn,4476163,0.0500
gvfs-client,4463431,0.0500
highcontrast-icon-theme,4451308,0.0500
alsa-utils,4439809,0.0500
gnome-desktop3,4432308,0.0500
julietaula-montserrat-fonts,4354816,0.0500
tpm2-tss,4349990,0.0500
python3-pillow,4349039,0.0500
abrt,4346929,0.0500
gawk,4341610,0.0500
libavfilter-free,4329710,0.0500
openssl-devel,4322313,0.0500
openconnect,4200190,0.0500
gavl,4187393,0.0500
gnome-photos,4175520,0.0500
lvm2,4132851,0.0500
tesseract-langpack-eng,4113088,0.0500
libibverbs,4093875,0.0500
procps-ng,4079323,0.0500
gnome-color-manager,4036231,0.0500
geolite2-country,4033110,0.0500
iproute,4014014,0.0500
poppler,4012761,0.0500
pulseaudio-libs,3988103,0.0500
ppp,3977938,0.0500
gdouros-symbola-fonts,3966348,0.0500
grub2-tools-minimal,3925874,0.0500
lvm2-libs,3924729,0.0500
shim-aa64,3897411,0.0500
rpm,3835115,0.0500
glusterfs-client-xlators,3814060,0.0500
gnome-characters,3782470,0.0500
iptables-nft,3776325,0.0500
pipewire-utils,3765571,0.0400
bison,3765333,0.0400
libselinux-utils,3677300,0.0400
qt5-qtxmlpatterns,3649783,0.0400
source-highlight,3647148,0.0400
folks,3641386,0.0400
sos,3638074,0.0400
svt-av1-libs,3629298,0.0400
NetworkManager-openconnect,3604436,0.0400
gvfs,3586619,0.0400
wireplumber-libs,3574914,0.0400
krb5-libs,3565562,0.0400
osinfo-db,3517694,0.0400
gnutls,3493453,0.0400
google-noto-serif-vf-fonts,3474483,0.0400
appstream,3461985,0.0400
epiphany-runtime,3455883,0.0400
wget,3421025,0.0400
leptonica,3408729,0.0400
libaom,3405493,0.0400
protobuf,3401467,0.0400
stix-fonts,3383246,0.0400
sane-backends,3379662,0.0400
tigervnc-server-minimal,3373381,0.0400
libreoffice-data,3353956,0.0400
python3-paste,3333998,0.0400
ibus-libpinyin,3326392,0.0400
net-snmp-libs,3323749,0.0400
glibmm2.4,3301177,0.0400
cyrus-sasl-lib,3252954,0.0400
tar,3245201,0.0400
tesseract,3230952,0.0400
python3-kickstart,3196705,0.0400
nano,3188068,0.0400
anaconda-gui,3160289,0.0400
binutils-gold,3156947,0.0400
libshaderc,3138977,0.0400
libldb,3080243,0.0400
lttng-ust,3050710,0.0400
gdk-pixbuf2,3029479,0.0400
openssh-clients,3011436,0.0300
parted,2987071,0.0300
libvirt-daemon-driver-qemu,2963946,0.0300
exiv2-libs,2923794,0.0300
gnome-session,2919609,0.0300
python3-firewall,2917456,0.0300
policycoreutils,2892457,0.0300
man-pages,2880537,0.0300
udisks2,2872606,0.0300
cheese-libs,2863770,0.0300
device-mapper-persistent-data,2848581,0.0300
mediawriter,2847241,0.0300
libstdc++,2844036,0.0300
net-tools,2834876,0.0300
ipxe-roms-qemu,2829789,0.0300
python3-dnf,2821144,0.0300
libvirt-daemon,2811969,0.0300
google-carlito-fonts,2772190,0.0300
libexif,2750872,0.0300
libavformat-free,2745448,0.0300
qpdf-libs,2736857,0.0300
gnome-online-accounts,2736662,0.0300
poppler-utils,2715934,0.0300
python3-setools,2709971,0.0300
libreport,2700390,0.0300
xdg-desktop-portal,2700374,0.0300
LibRaw,2689630,0.0300
libetonyek,2677749,0.0300
harfbuzz,2673642,0.0300
qemu-common,2663569,0.0300
ctags,2634423,0.0300
glibc-common,2615552,0.0300
libcdio,2610752,0.0300
fontconfig,2601858,0.0300
kbd-misc,2598925,0.0300
samba-client,2592793,0.0300
libadwaita,2544228,0.0300
gts,2518581,0.0300
urw-base35-nimbus-sans-fonts,2505850,0.0300
python3-simpleaudio,2495868,0.0300
libreoffice-ure-common,2469703,0.0300
libwnck3,2468410,0.0300
xorg-x11-server-Xwayland,2444351,0.0300
systemd-libs,2443416,0.0300
gnome-initial-setup,2438682,0.0300
yelp,2435666,0.0300
dnf,2422706,0.0300
libreoffice-gtk3,2416762,0.0300
gcr3,2408887,0.0300
libical,2400390,0.0300
tracker,2396752,0.0300
ca-certificates,2395522,0.0300
realtek-firmware,2387434,0.0300
libstaroffice,2387008,0.0300
systemd-networkd,2369758,0.0300
libvpx,2367310,0.0300
gnome-contacts,2364386,0.0300
ncurses-libs,2355175,0.0300
systemd-container,2350755,0.0300
aardvark-dns,2337848,0.0300
bind-utils,2317304,0.0300
clucene-core,2301374,0.0300
jomolhari-fonts,2297766,0.0300
libxml2,2293216,0.0300
openvpn,2280037,0.0300
python3-regex,2271367,0.0300
glibc-devel,2264925,0.0300
cryptsetup-libs,2238854,0.0200
rpm-sequoia,2219454,0.0200
libreoffice-gtk4,2215786,0.0200
dhcp-client,2213752,0.0200
liblangtag-data,2208885,0.0200
gdk-pixbuf2-modules,2208401,0.0200
gnome-text-editor,2206845,0.0200
diffutils,2203202,0.0200
evince-libs,2193609,0.0200
iscsi-initiator-utils,2189216,0.0200
open-sans-fonts,2185780,0.0200
python3-chardet,2183178,0.0200
p11-kit,2181723,0.0200
libreoffice-pyuno,2179173,0.0200
firewalld,2150708,0.0200
libv4l,2148377,0.0200
nss,2142284,0.0200
mariadb-connector-c,2133880,0.0200
gnome-calendar,2127498,0.0200
gutenprint-cups,2120685,0.0200
libreoffice-impress,2118943,0.0200
m17n-db,2108526,0.0200
rav1e-libs,2103001,0.0200
SDL2,2102853,0.0200
checkpolicy,2102384,0.0200
quota,2093757,0.0200
gcr-libs,2080295,0.0200
rubberband,2076652,0.0200
libdnf,2068197,0.0200
libgdata,2067469,0.0200
pango,2065088,0.0200
libwps,2054369,0.0200
liborcus,2041840,0.0200
zvbi,2038721,0.0200
mpfr,2035717,0.0200
cogl,2035453,0.0200
gst-editing-services,2020188,0.0200
gnutls-utils,2006157,0.0200
audit,2004011,0.0200
fwupd-plugin-uefi-capsule-data,2000096,0.0200
cairo,1998742,0.0200
libical-glib,1984859,0.0200
openssh,1972540,0.0200
libunistring,1960989,0.0200
libunistring1.0,1959651,0.0200
alsa-lib,1934816,0.0200
at-spi2-core,1928878,0.0200
pcsc-lite-ccid,1913795,0.0200
iwlwifi-dvm-firmware,1907774,0.0200
make,1899735,0.0200
libdb,1889950,0.0200
djvulibre-libs,1887192,0.0200
adobe-source-code-pro-fonts,1886539,0.0200
psmisc,1854629,0.0200
dracut,1834194,0.0200
gjs,1833761,0.0200
libosinfo,1817109,0.0200
libappstream-glib,1812317,0.0200
tpm2-tools,1811517,0.0200
libnl3,1808583,0.0200
gnome-tour,1807576,0.0200
libglvnd,1787422,0.0200
baobab,1780137,0.0200
flashrom,1773631,0.0200
grilo,1770358,0.0200
mdevctl,1760660,0.0200
vim-minimal,1759437,0.0200
genisoimage,1756743,0.0200
ncurses,1754110,0.0200
libjxl,1745804,0.0200
kexec-tools,1743072,0.0200
gnome-clocks,1739327,0.0200
fedora-logos,1739240,0.0200
tcpdump,1737336,0.0200
libinput,1735990,0.0200
openssl,1735716,0.0200
ModemManager-glib,1735484,0.0200
findutils,1733750,0.0200
userspace-rcu,1715566,0.0200
tzdata,1712794,0.0200
NetworkManager-openvpn,1703505,0.0200
sssd-client,1697914,0.0200
criu,1687795,0.0200
exempi,1687117,0.0200
texlive-lib,1679276,0.0200
adwaita-icon-theme,1671942,0.0200
libtracker-sparql,1665179,0.0200
liberation-sans-fonts,1662268,0.0200
libsamplerate,1647254,0.0200
sil-padauk-fonts,1645551,0.0200
python3-gpg,1629235,0.0200
ladspa,1627364,0.0200
libdrm,1627173,0.0200
hunspell,1623245,0.0200
xmlrpc-c,1622771,0.0200
libcupsfilters,1618706,0.0200
fftw-libs-double,1618061,0.0200
cups-client,1614975,0.0200
libgpod,1614620,0.0200
libdazzle,1602983,0.0200
blivet-gui-runtime,1597053,0.0200
libevent,1595946,0.0200
augeas-libs,1569072,0.0200
urw-base35-p052-fonts,1557220,0.0200
spice-glib,1555374,0.0200
libopenmpt,1548718,0.0200
libasan,1547838,0.0200
python3-cffi,1542500,0.0200
python-pip-wheel,1538542,0.0200
libgfortran,1529502,0.0200
liberation-serif-fonts,1528653,0.0200
libvirt-daemon-driver-storage-core,1519465,0.0200
unbound-libs,1517907,0.0200
libwinpr,1514562,0.0200
libhandy,1513262,0.0200
libepoxy,1507708,0.0100
sqlite-libs,1498098,0.0100
libsoup,1497785,0.0100
python3-langtable,1497040,0.0100
hplip-libs,1482350,0.0100
open-vm-tools-desktop,1475901,0.0100
python3-beautifulsoup4,1466041,0.0100
hplip-common,1466027,0.0100
libcanberra,1465167,0.0100
mbedtls,1465063,0.0100
urw-base35-c059-fonts,1460518,0.0100
yelp-xsl,1444364,0.0100
iproute-tc,1443611,0.0100
xz,1443230,0.0100
avahi,1442154,0.0100
libbabeltrace,1440253,0.0100
codec2,1439463,0.0100
roc-toolkit,1437771,0.0100
iputils,1435210,0.0100
libcap,1432119,0.0100
cifs-utils,1430974,0.0100
urw-base35-nimbus-roman-fonts,1429732,0.0100
ostree,1428915,0.0100
xorg-x11-drv-wacom,1428650,0.0100
urw-base35-bookman-fonts,1428570,0.0100
perl-Net-SSLeay,1418956,0.0100
polkit,1412912,0.0100
gstreamer1-plugins-ugly-free,1412453,0.0100
libX11,1407852,0.0100
gnome-font-viewer,1407813,0.0100
google-noto-sans-vf-fonts,1404226,0.0100
lpsolve,1403805,0.0100
libglvnd-glx,1399078,0.0100
taglib,1392942,0.0100
p11-kit-server,1390657,0.0100
gawk-all-langpacks,1389907,0.0100
abrt-addon-ccpp,1369926,0.0100
gettext-libs,1345224,0.0100
lame-libs,1344847,0.0100
libreoffice-graphicfilter,1342850,0.0100
libvirt-client,1338446,0.0100
plymouth,1334381,0.0100
tmux,1329376,0.0100
fprintd,1327481,0.0100
spice-server,1327215,0.0100
libvorbis,1326069,0.0100
glib-networking,1323261,0.0100
colord-libs,1323128,0.0100
