Package Name,Size,Percentage of Total Size
sudo,6351586,.084100
libmwaw,6342174,.084000
python3-policycoreutils,6250397,.082700
util-linux-core,6182485,.081800
qemu-user-static-s390x,6109800,.080900
kernel-headers,6105382,.080800
grub2-efi-aa64,6097447,.080700
grub2-efi-aa64-cdboot,6096364,.080700
glibc-langpack-en,5974818,.079100
python3-lxml,5963650,.078900
spirv-tools-libs,5950658,.078800
cups-filters,5925636,.078400
ipp-usb,5911910,.078300
qemu-user-static-m68k,5839107,.077300
gtkmm3.0,5782257,.076500
lua-posix,5712481,.075600
qemu-user-static-hppa,5677092,.075200
xorg-x11-server-Xorg,5661761,.074900
qemu-user-static-alpha,5599048,.074100
device-mapper-multipath-libs,5591811,.074000
xfsprogs,5571926,.073800
libqmi,5570949,.073700
qemu-user-static-loongarch64,5549022,.073500
gnome-system-monitor,5535202,.073300
python3-crypto,5533567,.073300
qemu-user-static-cris,5532401,.073200
qemu-user-static-or1k,5515083,.073000
grub2-common,5484886,.072600
bluez,5458777,.072300
qemu-user-static-nios2,5441980,.072000
gtksourceview5,5437046,.072000
openexr-libs,5420441,.071800
shared-mime-info,5415413,.071700
kbd,5401257,.071500
grilo-plugins,5365307,.071000
suitesparse,5283101,.069900
clutter,5282738,.069900
groff-base,5272932,.069800
fedora-workstation-backgrounds,5257885,.069600
gsettings-desktop-schemas,5139411,.068000
nm-connection-editor,5121780,.067800
ibus-typing-booster,5121212,.067800
tcl,5118281,.067800
nvme-cli,5095306,.067400
libxcb,5082054,.067300
gnome-keyring,4983782,.066000
simple-scan,4970557,.065800
python3-cryptography,4969758,.065800
words,4959394,.065600
gnome-maps,4959385,.065600
elfutils,4920474,.065100
tslib,4879780,.064600
python3-libdnf,4845440,.064100
cups-ipptool,4842922,.064100
PackageKit,4778946,.063300
gtksourceview4,4769317,.063100
ntfsprogs,4758138,.063000
libuser,4742580,.062800
colord,4739194,.062700
exiv2,4698119,.062200
man-db,4647264,.061500
adobe-mappings-pdf,4600301,.060900
python3-blivet,4585144,.060700
nfs-utils,4570720,.060500
bind-libs,4566743,.060400
librsvg2,4515170,.059800
libreoffice-xsltfilter,4509049,.059700
nss-softokn,4476163,.059200
gvfs-client,4463431,.059100
highcontrast-icon-theme,4451308,.058900
alsa-utils,4439809,.058800
gnome-desktop3,4432308,.058700
julietaula-montserrat-fonts,4354816,.057600
tpm2-tss,4349990,.057600
python3-pillow,4349039,.057600
abrt,4346929,.057500
gawk,4341610,.057500
libavfilter-free,4329710,.057300
openssl-devel,4322313,.057200
openconnect,4200190,.055600
gavl,4187393,.055400
gnome-photos,4175520,.055300
lvm2,4132851,.054700
tesseract-langpack-eng,4113088,.054400
libibverbs,4093875,.054200
procps-ng,4079323,.054000
gnome-color-manager,4036231,.053400
geolite2-country,4033110,.053400
iproute,4014014,.053100
poppler,4012761,.053100
pulseaudio-libs,3988103,.052800
ppp,3977938,.052600
gdouros-symbola-fonts,3966348,.052500
grub2-tools-minimal,3925874,.052000
lvm2-libs,3924729,.051900
shim-aa64,3897411,.051600
rpm,3835115,.050800
glusterfs-client-xlators,3814060,.050500
gnome-characters,3782470,.050100
iptables-nft,3776325,.050000
pipewire-utils,3765571,.049800
bison,3765333,.049800
libselinux-utils,3677300,.048700
qt5-qtxmlpatterns,3649783,.048300
source-highlight,3647148,.048300
folks,3641386,.048200
sos,3638074,.048100
svt-av1-libs,3629298,.048000
NetworkManager-openconnect,3604436,.047700
gvfs,3586619,.047500
wireplumber-libs,3574914,.047300
krb5-libs,3565562,.047200
osinfo-db,3517694,.046500
gnutls,3493453,.046200
google-noto-serif-vf-fonts,3474483,.046000
appstream,3461985,.045800
epiphany-runtime,3455883,.045700
wget,3421025,.045300
leptonica,3408729,.045100
libaom,3405493,.045100
protobuf,3401467,.045000
stix-fonts,3383246,.044800
sane-backends,3379662,.044700
tigervnc-server-minimal,3373381,.044600
libreoffice-data,3353956,.044400
python3-paste,3333998,.044100
ibus-libpinyin,3326392,.044000
net-snmp-libs,3323749,.044000
glibmm2.4,3301177,.043700
cyrus-sasl-lib,3252954,.043000
tar,3245201,.042900
tesseract,3230952,.042700
python3-kickstart,3196705,.042300
nano,3188068,.042200
anaconda-gui,3160289,.041800
binutils-gold,3156947,.041800
libshaderc,3138977,.041500
libldb,3080243,.040800
lttng-ust,3050710,.040400
gdk-pixbuf2,3029479,.040100
openssh-clients,3011436,.039800
parted,2987071,.039500
libvirt-daemon-driver-qemu,2963946,.039200
exiv2-libs,2923794,.038700
gnome-session,2919609,.038600
python3-firewall,2917456,.038600
policycoreutils,2892457,.038300
man-pages,2880537,.038100
udisks2,2872606,.038000
cheese-libs,2863770,.037900
device-mapper-persistent-data,2848581,.037700
mediawriter,2847241,.037700
libstdc++,2844036,.037600
net-tools,2834876,.037500
ipxe-roms-qemu,2829789,.037400
python3-dnf,2821144,.037300
libvirt-daemon,2811969,.037200
google-carlito-fonts,2772190,.036700
libexif,2750872,.036400
libavformat-free,2745448,.036300
qpdf-libs,2736857,.036200
gnome-online-accounts,2736662,.036200
poppler-utils,2715934,.035900
python3-setools,2709971,.035800
libreport,2700390,.035700
xdg-desktop-portal,2700374,.035700
LibRaw,2689630,.035600
libetonyek,2677749,.035400
harfbuzz,2673642,.035400
qemu-common,2663569,.035200
ctags,2634423,.034800
glibc-common,2615552,.034600
libcdio,2610752,.034500
fontconfig,2601858,.034400
kbd-misc,2598925,.034400
samba-client,2592793,.034300
libadwaita,2544228,.033700
gts,2518581,.033300
urw-base35-nimbus-sans-fonts,2505850,.033100
python3-simpleaudio,2495868,.033000
libreoffice-ure-common,2469703,.032700
libwnck3,2468410,.032600
xorg-x11-server-Xwayland,2444351,.032300
systemd-libs,2443416,.032300
gnome-initial-setup,2438682,.032300
yelp,2435666,.032200
dnf,2422706,.032000
libreoffice-gtk3,2416762,.032000
gcr3,2408887,.031900
libical,2400390,.031700
tracker,2396752,.031700
ca-certificates,2395522,.031700
realtek-firmware,2387434,.031600
libstaroffice,2387008,.031600
systemd-networkd,2369758,.031300
libvpx,2367310,.031300
gnome-contacts,2364386,.031300
ncurses-libs,2355175,.031100
systemd-container,2350755,.031100
aardvark-dns,2337848,.030900
bind-utils,2317304,.030600
clucene-core,2301374,.030400
jomolhari-fonts,2297766,.030400
libxml2,2293216,.030300
openvpn,2280037,.030200
python3-regex,2271367,.030000
glibc-devel,2264925,.030000
cryptsetup-libs,2238854,.029600
rpm-sequoia,2219454,.029400
libreoffice-gtk4,2215786,.029300
dhcp-client,2213752,.029300
liblangtag-data,2208885,.029200
gdk-pixbuf2-modules,2208401,.029200
gnome-text-editor,2206845,.029200
diffutils,2203202,.029100
evince-libs,2193609,.029000
iscsi-initiator-utils,2189216,.028900
open-sans-fonts,2185780,.028900
python3-chardet,2183178,.028900
p11-kit,2181723,.028900
libreoffice-pyuno,2179173,.028800
firewalld,2150708,.028400
libv4l,2148377,.028400
nss,2142284,.028300
mariadb-connector-c,2133880,.028200
gnome-calendar,2127498,.028100
gutenprint-cups,2120685,.028000
libreoffice-impress,2118943,.028000
m17n-db,2108526,.027900
rav1e-libs,2103001,.027800
SDL2,2102853,.027800
checkpolicy,2102384,.027800
quota,2093757,.027700
gcr-libs,2080295,.027500
rubberband,2076652,.027500
libdnf,2068197,.027300
libgdata,2067469,.027300
pango,2065088,.027300
libwps,2054369,.027200
liborcus,2041840,.027000
zvbi,2038721,.027000
mpfr,2035717,.026900
cogl,2035453,.026900
gst-editing-services,2020188,.026700
gnutls-utils,2006157,.026500
audit,2004011,.026500
fwupd-plugin-uefi-capsule-data,2000096,.026400
cairo,1998742,.026400
libical-glib,1984859,.026200
openssh,1972540,.026100
libunistring,1960989,.025900
libunistring1.0,1959651,.025900
alsa-lib,1934816,.025600
at-spi2-core,1928878,.025500
pcsc-lite-ccid,1913795,.025300
iwlwifi-dvm-firmware,1907774,.025200
make,1899735,.025100
libdb,1889950,.025000
djvulibre-libs,1887192,.024900
adobe-source-code-pro-fonts,1886539,.024900
psmisc,1854629,.024500
dracut,1834194,.024200
gjs,1833761,.024200
libosinfo,1817109,.024000
libappstream-glib,1812317,.024000
tpm2-tools,1811517,.023900
libnl3,1808583,.023900
gnome-tour,1807576,.023900
libglvnd,1787422,.023600
baobab,1780137,.023500
flashrom,1773631,.023400
grilo,1770358,.023400
mdevctl,1760660,.023300
vim-minimal,1759437,.023300
genisoimage,1756743,.023200
ncurses,1754110,.023200
libjxl,1745804,.023100
kexec-tools,1743072,.023000
gnome-clocks,1739327,.023000
fedora-logos,1739240,.023000
tcpdump,1737336,.023000
libinput,1735990,.022900
openssl,1735716,.022900
ModemManager-glib,1735484,.022900
findutils,1733750,.022900
userspace-rcu,1715566,.022700
tzdata,1712794,.022600
NetworkManager-openvpn,1703505,.022500
sssd-client,1697914,.022400
criu,1687795,.022300
exempi,1687117,.022300
texlive-lib,1679276,.022200
adwaita-icon-theme,1671942,.022100
libtracker-sparql,1665179,.022000
liberation-sans-fonts,1662268,.022000
libsamplerate,1647254,.021800
sil-padauk-fonts,1645551,.021700
python3-gpg,1629235,.021500
ladspa,1627364,.021500
libdrm,1627173,.021500
hunspell,1623245,.021500
xmlrpc-c,1622771,.021400
libcupsfilters,1618706,.021400
fftw-libs-double,1618061,.021400
cups-client,1614975,.021300
libgpod,1614620,.021300
libdazzle,1602983,.021200
blivet-gui-runtime,1597053,.021100
libevent,1595946,.021100
augeas-libs,1569072,.020700
urw-base35-p052-fonts,1557220,.020600
spice-glib,1555374,.020600
libopenmpt,1548718,.020500
libasan,1547838,.020500
python3-cffi,1542500,.020400
python-pip-wheel,1538542,.020300
libgfortran,1529502,.020200
liberation-serif-fonts,1528653,.020200
libvirt-daemon-driver-storage-core,1519465,.020100
unbound-libs,1517907,.020100
libwinpr,1514562,.020000
libhandy,1513262,.020000
libepoxy,1507708,.019900
sqlite-libs,1498098,.019800
libsoup,1497785,.019800
python3-langtable,1497040,.019800
hplip-libs,1482350,.019600
open-vm-tools-desktop,1475901,.019500
python3-beautifulsoup4,1466041,.019400
hplip-common,1466027,.019400
libcanberra,1465167,.019400
mbedtls,1465063,.019400
urw-base35-c059-fonts,1460518,.019300
yelp-xsl,1444364,.019100
iproute-tc,1443611,.019100
xz,1443230,.019100
avahi,1442154,.019100
libbabeltrace,1440253,.019000
codec2,1439463,.019000
roc-toolkit,1437771,.019000
iputils,1435210,.019000
libcap,1432119,.018900
cifs-utils,1430974,.018900
urw-base35-nimbus-roman-fonts,1429732,.018900
ostree,1428915,.018900
xorg-x11-drv-wacom,1428650,.018900
urw-base35-bookman-fonts,1428570,.018900
perl-Net-SSLeay,1418956,.018700
polkit,1412912,.018700
gstreamer1-plugins-ugly-free,1412453,.018700
libX11,1407852,.018600
gnome-font-viewer,1407813,.018600
google-noto-sans-vf-fonts,1404226,.018600
lpsolve,1403805,.018500
